sentence1,sentence2,label
"Способен понимать принципы работы IT-технологий","Настраивать серверы на Linux",0.1
"Способен решать задачи с применением ИКТ","Автоматизировать тестирование ПО",0.6
"Способен участвовать в разработке стандартов","Писать гайдлайны для кода",0.7
"Способен инсталлировать ПО и оборудование","Устанавливать сетевые маршрутизаторы",0.9
"Способен разрабатывать бизнес-планы на оснащение","Оценивать затраты на серверы",0.7
"Способен разрабатывать алгоритмы и программы","Писать скрипты на Python",0.8
"Способен осваивать методики использования ПО","Изучать инструменты DevOps",0.8
"Способен заниматься разработкой ПО","Кодировать backend-приложения",1.0
"Способен осуществлять поиск и анализ информации","Собирать требования к проекту",0.8
"Способен определять задачи и способы их решения","Планировать этапы разработки",0.6
"Способен осуществлять социальное взаимодействие","Работать в Scrum-команде",0.5
"Способен осуществлять деловую коммуникацию","Вести переписку с клиентами",0.8
"Способен воспринимать межкультурное разнообразие","Адаптировать ПО для рынков",0.6
"Способен управлять своим временем","Соблюдать дедлайны спринтов",0.9
"Способен поддерживать физическую подготовленность","Оптимизировать рабочий график",0.0
"Способен формировать нетерпимость к коррупции","Контролировать закупки ПО",0.0
"Способен применять методы моделирования","Анализировать производительность БД",0.4
"Способен понимать принципы работы ПО","Оптимизировать работу CRM",0.3
"Способен решать задачи с учетом безопасности","Шифровать сетевой трафик",0.5
"Способен разрабатывать техдокументацию","Создавать схемы архитектуры",0.8
"Способен разрабатывать алгоритмы","Реализовывать парсеры данных",0.5
"Способен осуществлять коммуникацию на иностранном языке","Общаться с техподдержкой вендоров",0.2
"Способен управлять траекторией саморазвития","Изучать новые фреймворки",0.6
"Выбирать способы решения задач профессиональной деятельности","Определять подход к разработке ПО",0.9
"Осуществлять поиск, анализ и интерпретацию информации","Собирать данные",0.8
"Планировать и реализовывать профессиональное развитие","Изучать новые дизайн-тренды",0.4
"Работать в коллективе и команде","Сотрудничать с разработчиками UI",0.4
"Осуществлять коммуникацию на государственном языке","Вести переговоры с клиентами",0.6
"Проявлять гражданско-патриотическую позицию","Продвигать локальные IT-продукты",0.5
"Содействовать сохранению окружающей среды","Оптимизировать энергопотребление ПО",0.3
"Использовать средства физической культуры","Поддерживать режим для продуктивности",0.3
"Использовать информационные технологии","Применять Figma для прототипов",0.5
"Пользоваться профессиональной документацией","Читать спецификации API",0.7
"Планировать предпринимательскую деятельность","Разрабатывать бизнес-план стартапа",0.8
"Осуществлять сбор и анализ данных для ТЗ","Анализировать требования к дизайну",0.7
"Определять выбор технических средств для макета","Выбирать софт для рендеринга",0.8
"Формировать готовое техническое задание","Составлять ТЗ для интерфейса",0.9
"Выполнять согласование с заказчиком","Утверждать макет с клиентом",1.0
"Планировать выполнение работ по макету","Ставить сроки для дизайна",0.7
"Определять потребности в оборудовании","Подбирать технику для печати",0.7
"Разрабатывать дизайн-макет на основе ТЗ","Создавать UI для приложения",0.5
"Осуществлять защиту дизайн-макета","Презентовать прототип заказчику",0.8
"Комплектация составляющих дизайн-макета","Собирать assets для продукта",0.5
"Выполнять настройку параметров печати","Калибровать цвета для вывода",0.9
"Оценивать соответствие требованиям качества","Проверять DPI макета",0.6
"Осуществлять сопровождение печати","Контролировать процесс публикации",0.6
"Анализировать тенденции в графическом дизайне","Изучать тренды UX/UI",0.8
"Проводить мастер-классы по технологиям дизайна","Обучать коллег работе в Adobe",0.7
"Разрабатывать предложения по новым технологиям","Внедрять AI в дизайн-процесс",0.8
"Выбирать способы решения задач","Оптимизировать рендеринг графики",0.2
"Планировать профессиональное развитие","Проходить курсы по 3D-дизайну",0.4
"Работать в команде","Координировать с backend-разработчиками",0.5
"Использовать IT в деятельности","Применять Blender для анимации",0.2
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Диагностировать сбои в серверных системах",0.2
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Оптимизировать архитектуру ПО",0.3
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Решать инциденты в продакшене",0.9
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Разрабатывать план миграции данных",0.3
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Устранять баги в коде",0.7
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Планировать рефакторинг legacy-систем",0.9
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Анализировать узкие места в сети",0.5
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Выбирать подход к нагрузочному тестированию",0.5
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Разрабатывать план восстановления после сбоя",0.6
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Определять приоритеты задач в спринте",0.6
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Решать конфликты зависимостей в ПО",0.7
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Анализировать уязвимости безопасности",0.9
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Планировать масштабирование системы",0.5
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Решать проблемы производительности БД",0.5
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Выбирать подход к автоматизации тестов",0.5
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Анализировать логи для устранения ошибок",0.6
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Планировать обновление ПО",0.7
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Решать проблемы интеграции API",0.7
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Разрабатывать план минимизации рисков",0.6
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Анализировать требования к безопасности",0.5
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Выбирать стратегию резервного копирования",0.3
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Планировать переход на микросервисы",0.1
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Решать проблемы совместимости ПО",0.6
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Анализировать причины отказа системы",0.6
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Разрабатывать план тестирования релиза",0.8
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Определять подход к дебаггингу",0.3
"Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий","Разрабатывать стратегию поддержки пользователей",0.6
"Способен управлять проектом на всех этапах его жизненного цикла","Вести разработку ПО по Agile",0.9
"Способен управлять проектом на всех этапах его жизненного цикла","Планировать релиз мобильного приложения",0.5
"Способен управлять проектом на всех этапах его жизненного цикла","Координировать внедрение CRM",0.6
"Способен управлять проектом на всех этапах его жизненного цикла","Контролировать миграцию на облако",0.4
"Способен управлять проектом на всех этапах его жизненного цикла","Организовывать тестирование системы",0.7
"Способен управлять проектом на всех этапах его жизненного цикла","Руководить созданием веб-сервиса",0.8
"Способен управлять проектом на всех этапах его жизненного цикла","Планировать интеграцию API",0.7
"Способен управлять проектом на всех этапах его жизненного цикла","Управлять разработкой микросервисов",0.4
"Способен управлять проектом на всех этапах его жизненного цикла","Контролировать запуск DevOps-процессов",0.3
"Способен управлять проектом на всех этапах его жизненного цикла","Координировать рефакторинг кода",0.2
"Способен управлять проектом на всех этапах его жизненного цикла","Вести проект автоматизации тестирования",0.3
"Способен управлять проектом на всех этапах его жизненного цикла","Планировать обновление ПО",0.8
"Способен управлять проектом на всех этапах его жизненного цикла","Руководить созданием базы данных",0.7
"Способен управлять проектом на всех этапах его жизненного цикла","Контролировать разработку UI/UX",0.8
"Способен управлять проектом на всех этапах его жизненного цикла","Организовывать запуск SaaS-продукта",0.9
"Способен управлять проектом на всех этапах его жизненного цикла","Управлять проектом по Scrum",0.9
"Способен управлять проектом на всех этапах его жизненного цикла","Координировать настройку серверов",0.1
"Способен управлять проектом на всех этапах его жизненного цикла","Планировать внедрение ERP-системы",0.6
"Способен управлять проектом на всех этапах его жизненного цикла","Руководить разработкой AI-моделей",0.7
"Способен управлять проектом на всех этапах его жизненного цикла","Контролировать запуск сервиса",0.8
"Способен управлять проектом на всех этапах его жизненного цикла","Организовывать переход на новый стек",0.4
"Способен управлять проектом на всех этапах его жизненного цикла","Вести проект по созданию чат-бота",0.5
"Способен управлять проектом на всех этапах его жизненного цикла","Планировать масштабирование системы",0.8
"Способен управлять проектом на всех этапах его жизненного цикла","Координировать разработку ",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Планировать стратегию тестирования QA-команды",0.8
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Руководить разработкой мобильного приложения",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Координировать работу аналитиков данных",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Организовывать команду по внедрению CRM",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Планировать стратегию для команды",1.0
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Координировать настройку",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Организовывать работу команды дизайнеров UI/UX",0.6
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Планировать задачи для команды поддержки",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Руководить разработкой веб-приложения",0.9
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Координировать команду по автоматизации процессов",0.8
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Организовывать работу команды сетевых инженеров",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Планировать стратегию для команды ",0.9
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Руководить разработкой микросервисной архитектуры",0.6
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Координировать команду по внедрению ERP",0.8
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Планировать стратегию для команды",0.7
"Способен организовывать и руководить работой команды, вырабатывая командную стратегию","Руководить проектом по обновлению",0.8
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Общаться с зарубежными клиентами",0.9
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Вести переписку с командой на английском",0.8
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Проводить демо продукта",0.4
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Согласовывать ТЗ с иностранным заказчиком",0.8
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Участвовать в международных митапах онлайн",0.7
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Писать техподдержке вендоров на иностранном языке",0.6
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Презентовать проект на международной конференции",0.9
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Координировать работу с офшорной командой",0.8
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Вести переговоры с зарубежным партнером",0.9
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Обучать коллег через вебинары на английском",0.4
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Писать документацию на двух языках",0.8
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Обсуждать баги с иностранной командой QA",0.8
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Презентовать API зарубежным разработчикам",0.9
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Координировать релиз с международной командой",0.8
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Участвовать в код-ревью на английском",0.7
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Писать отчеты для зарубежного руководства",0.9
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Вести блог о проекте на двух языках",0.7
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Проводить онлайн-интервью с кандидатами",0.6
"Способен применять современные коммуникативные технологии, в том числе на иностранном языке","Вести переговоры с иностранным вендором",0.7
"Способен анализировать и учитывать разнообразие культур","Локализовать ПО для разных регионов",0.9
"Способен анализировать и учитывать разнообразие культур","Адаптировать UI для мультикультурных пользователей",0.8
"Способен анализировать и учитывать разнообразие культур","Учитывать культурные особенности в UX",0.7
"Способен анализировать и учитывать разнообразие культур","Проводить демо для международных клиентов",0.8
"Способен анализировать и учитывать разнообразие культур","Разрабатывать контент для разных культур",0.6
"Способен анализировать и учитывать разнообразие культур","Учитывать традиции в дизайне интерфейсов",0.5
"Способен анализировать и учитывать разнообразие культур","Писать документацию для глобального рынка",0.5
"Способен анализировать и учитывать разнообразие культур","Адаптировать чат-бот для разных языков",0.7
"Способен анализировать и учитывать разнообразие культур","Обсуждать задачи с коллегами из разных стран",0.5
"Способен анализировать и учитывать разнообразие культур","Создавать доступные приложения для всех культур",0.5
"Способен анализировать и учитывать разнообразие культур","Презентовать продукт на международных рынках",0.9
"Способен анализировать и учитывать разнообразие культур","Учитывать культурные нормы в техподдержке",0.6
"Способен анализировать и учитывать разнообразие культур","Разрабатывать ПО с учетом глобальных стандартов",0.9
"Способен определять и реализовывать приоритеты собственной деятельности","Оптимизировать свой рабочий процесс",0.7
"Способен определять и реализовывать приоритеты собственной деятельности","Совершенствовать навыки",0.7
"Способен определять и реализовывать приоритеты собственной деятельности","Улучшать производительность кода",0.6
"Способен определять и реализовывать приоритеты собственной деятельности","Планировать самообучение по DevOps",0.7
"Способен определять и реализовывать приоритеты собственной деятельности","Определять фокус тестирования",0.5
"Способен определять и реализовывать приоритеты собственной деятельности","Совершенствовать документацию ПО",0.4
"Способен определять и реализовывать приоритеты собственной деятельности","Выбирать ключевые задачи поддержки",0.4
"Способен определять и реализовывать приоритеты собственной деятельности","Оптимизировать дебаггинг-процесс",0.3
"Способен определять и реализовывать приоритеты собственной деятельности","Планировать рефакторинг кода",0.3
"Способен определять и реализовывать приоритеты собственной деятельности","Улучшать навыки работы с API",0.2
"Способен определять и реализовывать приоритеты собственной деятельности","Ставить цели для автоматизации",0.9
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Решать проблемы оптимизации",0.9
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Анализировать данные в новой BI-системе",0.7
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Разрабатывать модель для незнакомой платформы",0.9
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Изучать и внедрять новый стек технологий",0.8
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Решать междисциплинарные задачи в IoT",0.9
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Применять математику для анализа",0.8
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Осваивать новые методы кибербезопасности",0.7
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Разрабатывать решения для незнакомого API",0.7
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Применять экономические знания в проектах",0.8
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Адаптироваться к незнакомым БД",0.6
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Осваивать новые подходы к тестированию",0.5
"Способен самостоятельно приобретать и применять знания для нестандартных задач","Решать задачи в незнакомом фреймворке",0.6
"Способен разрабатывать оригинальные алгоритмы и программные средства","Разрабатывать парсер с использованием AI",0.5
"Способен разрабатывать оригинальные алгоритмы и программные средства","Писать алгоритмы для обработки больших данных",0.5
"Способен разрабатывать оригинальные алгоритмы и программные средства","Писать оригинальные скрипты автоматизации",0.8
"Способен разрабатывать оригинальные алгоритмы и программные средства","Разрабатывать алгоритмы кластеризации",0.5
"Способен разрабатывать оригинальные алгоритмы и программные средства","Программировать интеллектуальную аналитику",0.5
"Способен разрабатывать оригинальные алгоритмы и программные средства","Создавать ПО для обработки естественного языка",0.5
"Способен анализировать профессиональную информацию и представлять обзоры","Готовить отчет по производительности системы",0.5
"Способен анализировать профессиональную информацию и представлять обзоры","Анализировать логи и предлагать улучшения",0.6
"Способен анализировать профессиональную информацию и представлять обзоры","Оформлять обзор трендов в разработке",0.7
"Способен анализировать профессиональную информацию и представлять обзоры","Представлять рекомендации по оптимизации",0.9
"Способен анализировать профессиональную информацию и представлять обзоры","Анализировать требования и готовить ТЗ",0.8
"Способен анализировать профессиональную информацию и представлять обзоры","Структурировать отчет по метрикам проекта",0.9
"Способен анализировать профессиональную информацию и представлять обзоры","Обосновывать выбор технологий в обзоре",0.8
"Способен анализировать профессиональную информацию и представлять обзоры","Готовить аналитику по использованию API",0.6
"Способен анализировать профессиональную информацию и представлять обзоры","Представлять выводы по нагрузочным тестам",0.6
"Способен анализировать профессиональную информацию и представлять обзоры","Анализировать рынок и предлагать решения",0.9
"Способен анализировать профессиональную информацию и представлять обзоры","Структурировать анализ кода в отчете",0.8
"Способен анализировать профессиональную информацию и представлять обзоры","Готовить обзор по безопасности системы",0.9
"Способен применять новые научные принципы и методы исследований","Внедрять ML для анализа данных",0.9
"Способен применять новые научные принципы и методы исследований","Использовать новые методы оптимизации кода",0.8
"Способен применять новые научные принципы и методы исследований","Исследовать новые подходы к шифрованию",0.7
"Способен применять новые научные принципы и методы исследований","Внедрять методы обработки больших данных",0.8
"Способен применять новые научные принципы и методы исследований","Применять научные методы в тестировании ПО",0.9
"Способен применять новые научные принципы и методы исследований","Использовать новые подходы к кластеризации",0.8
"Способен применять новые научные принципы и методы исследований","Внедрять методы анализа временных рядов",0.9
"Способен применять новые научные принципы и методы исследований","Исследовать новые архитектуры нейросетей",0.8
"Способен применять новые научные принципы и методы исследований","Внедрять новые подходы к парсингу данных",0.9
"Способен применять новые научные принципы и методы исследований","Применять новые алгоритмы для рекомендаций",0.9
"Способен применять новые научные принципы и методы исследований","Исследовать методы повышения надежности ПО",0.8
"Способен применять новые научные принципы и методы исследований","Внедрять новые принципы в разработке API",0.9
"Способен разрабатывать и модернизировать ПО и оборудование","Обновлять серверное ПО для автоматизации",0.9
"Способен разрабатывать и модернизировать ПО и оборудование","Создавать драйверы для оборудования",0.8
"Способен разрабатывать и модернизировать ПО и оборудование","Обновлять прошивку автоматизированных устройств",0.9
"Способен разрабатывать и модернизировать ПО и оборудование","Разрабатывать ПО для облачных систем",0.8
"Способен разрабатывать и модернизировать ПО и оборудование","Модернизировать сетевые конфигурации",0.7
"Способен разрабатывать и модернизировать ПО и оборудование","Создавать ПО для управления роботами",0.9
"Способен разрабатывать и модернизировать ПО и оборудование","Обновлять ПО для информационных панелей",0.8
"Способен разрабатывать и модернизировать ПО и оборудование","Разрабатывать системы мониторинга оборудования",0.9
"Способен разрабатывать и модернизировать ПО и оборудование","Обновлять аппаратные модули серверов",0.5
"Способен разрабатывать и модернизировать ПО и оборудование","Разрабатывать ПО для автоматизации БД",0.3
"Способен разрабатывать и модернизировать ПО и оборудование","Модернизировать системы видеонаблюдения",0.2
"Способен разрабатывать компоненты программно-аппаратных комплексов","Разрабатывать компоненты обработки данных IoT",0.8
"Способен разрабатывать компоненты программно-аппаратных комплексов","Программировать блоки обработки сигналов",0.8
"Способен разрабатывать компоненты программно-аппаратных комплексов","Разрабатывать модули анализа больших данных",0.7
"Способен адаптировать зарубежные комплексы обработки информации","Локализовать системы управления производством",0.9
"Способен адаптировать зарубежные комплексы обработки информации","Интегрировать зарубежные IoT-решения",0.8
"Способен адаптировать зарубежные комплексы обработки информации","Адаптировать зарубежные аналитические платформы",0.7
"Способен адаптировать зарубежные комплексы обработки информации","Настраивать зарубежное ПО для российской сети",0.9
"Способен адаптировать зарубежные комплексы обработки информации","Локализовать системы проектирования зданий",0.8
"Способен адаптировать зарубежные комплексы обработки информации","Адаптировать зарубежные инструменты DevOps",0.9
"Способен адаптировать зарубежные комплексы обработки информации","Интегрировать зарубежное ПО с 1С",0.8
"Способен адаптировать зарубежные комплексы обработки информации","Настраивать зарубежные системы для локальных нужд",0.9
"Способен осуществлять эффективное управление разработкой программных средств","Вести проект разработки веб-приложения",0.9
